FIRSTNAME | LASTNAME | TITLE | YEAR | TYPE | POSITION | GENDER
Michael | 'babeepower' Viera | Rock Steady  | 2002 | M |  | M
Michael | 'babeepower' Viera | "Lyricist Lounge Show, The"  | 2000 | M |  | M
Eloy | 'Chincheta' | ¡Ja me maaten...!  | 2000 | M | 20 | M
Antonio | 'El de Chipiona' | Guitarra muda, La  | 1953 | M |  | M
José | 'El Francés' | Alma gitana  | 1996 | M | 45 | M
Félix | 'El Gato' | Pelotazo nacional  | 1993 | M | 12 | M
Félix | 'El Gato' | "Querida Concha"  | 1992 | M |  | M
Félix | 'El Gato' | "Uno para todas"  | 1995 | M | 4 | M
Miguel | 'El Happy' Lora | "Granja tolima, La"  | 2004 | M |  | M
Marcial | 'El Jalisco' | Entre las patas de los caballos  | 2000 | M | 10 | M
José | 'El Morito' | Torrente 2: Misión en Marbella  | 2001 | M | 24 | M
Francisco | 'El Niño de la Manola' | Almendros - Plaza nueva -, Los  | 2000 | M |  | M
Víctor | 'El Payaso' | De la calle  | 2001 | M | 83 | M
Antonio | 'El Pescaíto' | Almendros - Plaza nueva -, Los  | 2000 | M |  | M
Luis | 'El Plojo' | De la calle  | 2001 | M | 80 | M
Janny | 'el Portugues' | Contrabandista, La  | 1982 | M | 22 | M
Antonio | 'El Rilete' | Almendros - Plaza nueva -, Los  | 2000 | M |  | M
Baltazar | 'El Toro' | Operación narcóticos  | 1991 | M | 20 | M
Luis Roberto | 'Formiga' | OP Pro 88 - Barra, Rio  | 1988 | M |  | M
 | 'Goochi' | Everybody's Business  | 1993 | M | 1 | M
Murray the | 'K' | Beatles at Shea Stadium, The  | 1966 | M |  | M
Murray the | 'K' | Beatles: The First U.S. Visit, The  | 1994 | V |  | M
Murray the | 'K' | Day the Music Died, The  | 1977 | M |  | M
Murray the | 'K' | I Wanna Hold Your Hand  | 1978 | M | 47 | M
Murray the | 'K' | That's the Way of the World  | 1975 | M |  | M
Murray the | 'K' | "Beatles Anthology, The"  | 1995 | mini |  | M
Néstor | 'Kick Boxer' | Violencia urbana  | 1996 | M | 21 | M
Tony | 'La Chispa' | Caceria de judiciales  | 1997 | M | 11 | M
Tony | 'La Chispa' | Violencia en la sierra  | 1995 | M | 4 | M
 | 'Raff' | Reflections of Evil  | 2002 | M | 57 | M
Pollino | 'Romero' | Estatua, La  | 1961 | M |  | M
Frans | 't Hoen | Dorp aan de rivier  | 1958 | M |  | M
Frans | 't Hoen | Zaak M.P., De  | 1960 | M |  | M
Jorrit | 't Hoen | "Oog in oog"  | 1990 | M |  | M
Dick | 't Hooft | Moord in extase  | 1984 | M | 46 | M
Jacob | 'The Jeweler' | Def Jam Fight for NY  | 2004 | VG | 31 | M
Jacob | 'The Jeweler' | State Property  | 2002 | M | 53 | M
Izzy | 'The Religious Nut' | Twister: A Musical Catastrophe  | 2000 | V | 15 | M
Ka'olelo | 'Ulaleo | Pele's Appeal  | 1990 | M |  | M
Oswald | 'Ô' | Skate - O Esporte Emoção  | 1987 | M |  | M
 | *NSYNC | 101 Biggest Celebrity Oops  | 2004 | TV |  | M
 | *NSYNC | 1998 Billboard Music Awards, The  | 1998 | TV |  | M
 | *NSYNC | 2000 MTV Movie Awards  | 2000 | TV | 39 | M
 | *NSYNC | 26th Annual American Music Awards, The  | 1998 | TV |  | M
 | *NSYNC | 28th Annual American Music Awards, The  | 2001 | TV |  | M
 | *NSYNC | Bubblegum Babylon  | 2002 | TV |  | M
 | *NSYNC | L'Oreal Summer Music Mania  | 1999 | TV |  | M
 | *NSYNC | MTV Snowed In 2000  | 2000 | TV |  | M
