domain,country,state,cite,Geolocatable address,Coordinates,latitude,longitude,count
pacbell.net,us,tx,richardson,"richardson, tx, us","32.9728, -96.7098",32.9728,-96.7098,120
verizon.net,us,va,reston,"reston, va, us","38.95, -77.35",38.95,-77.35,69
verizon.net,xx,,(unknown city?),"(unknown city?), , xx",", ",,,65
comcast.net,xx,,(unknown city?),"(unknown city?), , xx",", ",,,61
otenet.gr,xx,,(unknown city?),"(unknown city?), , xx",", ",,,51
comcast.net,us,,(unknown city),"(unknown city), , us",", ",,,43
forthnet.gr,gr,,athens,"athens, , gr","37.9667, 23.7167",37.9667,23.7167,41
optonline.net,us,,(unknown city),"(unknown city), , us",", ",,,31
forthnet.gr,xx,,(unknown city?),"(unknown city?), , xx",", ",,,29
otenet.gr,de,,(unknown city),"(unknown city), , de",", ",,,28
rr.com,us,va,herndon,"herndon, va, us","38.9692, -77.3873",38.9692,-77.3873,20
otenet.gr,gr,,athens,"athens, , gr","37.9667, 23.7167",37.9667,23.7167,20
numericable.fr,fr,,(unknown city),"(unknown city), , fr",", ",,,18
co.uk,xx,,(unknown city?),"(unknown city?), , xx",", ",,,16
optonline.net,xx,,(unknown city?),"(unknown city?), , xx",", ",,,16
hol.gr,gr,,athens,"athens, , gr","37.9667, 23.7167",37.9667,23.7167,14
rr.com,us,,(unknown city),"(unknown city), , us",", ",,,14
rr.com,xx,,(unknown city?),"(unknown city?), , xx",", ",,,14
sbcglobal.net,us,tx,richardson,"richardson, tx, us","32.9728, -96.7098",32.9728,-96.7098,14
hol.gr,xx,,(unknown city?),"(unknown city?), , xx",", ",,,12
comcast.net,us,nj,mount laurel,"mount laurel, nj, us","39.9499, -74.9072",39.9499,-74.9072,12
rogers.com,xx,,(unknown city?),"(unknown city?), , xx",", ",,,11
t-online.hu,hu,,budapest,"budapest, , hu","47.5, 19.0833",47.5,19.0833,11
charter.com,us,,(unknown city),"(unknown city), , us",", ",,,10
forthnet.gr,gr,,(unknown city),"(unknown city), , gr",", ",,,10
sbcglobal.net,us,ca,vallejo,"vallejo, ca, us","38.1075, -122.264",38.1075,-122.264,10
optonline.net,us,ny,brooklyn,"brooklyn, ny, us","40.635, -73.95",40.635,-73.95,9
embarqhsd.net,us,,(unknown city),"(unknown city), , us",", ",,,8
telfort.nl,nl,,(unknown city),"(unknown city), , nl",", ",,,7
comcast.net,us,ga,atlanta,"atlanta, ga, us","33.7629, -84.4226",33.7629,-84.4226,7
ontelecoms.gr,xx,,(unknown city?),"(unknown city?), , xx",", ",,,7
sbcglobal.net,xx,,(unknown city?),"(unknown city?), , xx",", ",,,7
nextgentel.com,no,,oslo,"oslo, , no","59.95, 10.7",59.95,10.7,7
ziggo.nl,xx,,(unknown city?),"(unknown city?), , xx",", ",,,6
pacbell.net,us,,(unknown city),"(unknown city), , us",", ",,,6
comcast.net,us,ca,napa,"napa, ca, us","38.2979, -122.3",38.2979,-122.3,6
verizon.net,us,ny,new york,"new york, ny, us","40.6698, -73.9438",40.6698,-73.9438,6
snet.net,us,ct,waterbury,"waterbury, ct, us","41.5584, -73.0374",41.5584,-73.0374,5
cox.net,us,ga,atlanta,"atlanta, ga, us","33.7629, -84.4226",33.7629,-84.4226,5
ntl.com,uk,,(unknown city),"(unknown city), , uk",", ",,,5
tellas.gr,xx,,(unknown city?),"(unknown city?), , xx",", ",,,5
cox.net,us,ca,irvine,"irvine, ca, us","33.6621, -117.796",33.6621,-117.796,5
sbcglobal.net,us,ca,fairfield,"fairfield, ca, us","38.2525, -122.042",38.2525,-122.042,4
bell.ca,ca,,montreal,"montreal, , ca","45.5167, -73.5667",45.5167,-73.5667,4
bell.ca,ca,on,ottawa,"ottawa, on, ca","45.4167, -75.7",45.4167,-75.7,4
telfort.nl,nl,,nijmegen,"nijmegen, , nl","51.8333, 5.85",51.8333,5.85,4
