"AIRPORT","TR_AIRPORT_NAME","TR_CITY_NAME","TR_STATE_NAME",
"XWS","Oliktok, AK: Oliktok Lrrs","Oliktok, AK","Alaska",
"XWR","Oosik Sea Plane Base it, AK: Oosik Sea Plane Base it Airport","Oosik Split, AK","Alaska",
"KOZ","Ouzinkie, AK: Ouzinkie Airport","Ouzinkie, AK","Alaska",
"PBK","Pack Creek, AK: Pack Creek Airport","Pack Creek, AK","Alaska",
"PFA","Paf Warren, AK: Paf Warren Airport","Paf Warren, AK","Alaska",
"PMU","Paimiut, AK: Paimiut Airport","Paimiut, AK","Alaska",
"PCE","Painter Creek, AK: Painter Creek Airport","Painter Creek, AK","Alaska",
"PAQ","Palmer, AK: Palmer Municipal","Palmer, AK","Alaska",
"KPK","Parks, AK: Parks Sea Plane Base Alas","Parks, AK","Alaska",
"KPH","Pauloff Harbor, AK: Pauloff Harbor Airport","Pauloff Harbor, AK","Alaska",
"WQJ","Peard Bay, AK: Peard Bay Airport","Peard Bay, AK","Alaska",
"PDB","Pedro Bay, AK: Pedro Bay Airport","Pedro Bay, AK","Alaska",
"PEC","Pelican, AK: Pelican Sea Plane Base","Pelican, AK","Alaska",
"KPV","Perryville, AK: Perryville Airport","Perryville, AK","Alaska",
"VZL","King Cove, AK: Peter Pan Seafoods","King Cove, AK","Alaska",
"PSG","Petersburg, AK: Petersburg Sea Plane Base","Petersburg, AK","Alaska",
"PNF","Peterson's Point, AK: Peterson's Point Airport","Peterson's Point, AK","Alaska",
"UGB","Pilot Point, AK: Ugashik Bay","Pilot Point, AK","Alaska",
"PIP","Pilot Point, AK: Pilot Point","Pilot Point, AK","Alaska",
"PQS","Pilot Station, AK: Pilot Station","Pilot Station, AK","Alaska",
"PTU","Platinum, AK: Platinum Airport","Platinum, AK","Alaska",
"PTR","Pleasant Harbour, AK: Pleasant Harbour Airport","Pleasant Harbour, AK","Alaska",
"PBA","Point Barrow, AK: Point Barrow Narl","Point Barrow, AK","Alaska",
"PHO","Point Hope, AK: Point Hope Airport","Point Hope, AK","Alaska",
"PIZ","Point Lay, AK: Point Lay Dew Station","Point Lay, AK","Alaska",
"PRT","Point Retreat, AK: Coast Guard Heliport","Point Retreat, AK","Alaska",
"POQ","Polk Inlet, AK: Polk Inlet Airport","Polk Inlet, AK","Alaska",
"PVY","Pope Vanoy, AK: Pope Vanoy Airport","Pope Vanoy, AK","Alaska",
"PCK","Porcupine Creek, AK: Porcupine Creek Airport","Porcupine Creek, AK","Alaska",
"PTD","Port Alexander, AK: Port Alexander Airport","Port Alexander, AK","Alaska",
"PTC","Port Alice, AK: Port Alice Airport","Port Alice, AK","Alaska",
"PTA","Port Alsworth, AK: Port Alsworth Airport","Port Alsworth, AK","Alaska",
"PTL","Port Armstrong, AK: Port Armstrong Airport","Port Armstrong, AK","Alaska",
"KPY","Port Bailey, AK: Port Bailey Airport","Port Bailey, AK","Alaska",
"KPC","Port Clarence, AK: Port Clarence Cgs","Port Clarence, AK","Alaska",
"PGM","Port Graham, AK: Port Graham Airport","Port Graham, AK","Alaska",
"PTH","Port Heiden, AK: Port Heiden Airport","Port Heiden, AK","Alaska",
"ORI","Port Lions, AK: Port Lions Airport","Port Lions, AK","Alaska",
"PML","Port Moller, AK: Port Moller Afs","Port Moller, AK","Alaska",
"PPV","Port Protection, AK: Port Protection Airport","Port Protection, AK","Alaska",
"WQY","Port Wakefield, AK: Port Wakefield Airport","Port Wakefield, AK","Alaska",
"KPR","Port Williams, AK: Port Williams Alas","Port Williams, AK","Alaska",
"PUO","Prudhoe Bay, AK: Prudhoe Bay Airport","Prudhoe Bay, AK","Alaska",
"PUO","Prudhoe Bay, AK: Prudhoe Bay Airport","Prudhoe Bay, AK","Alaska",
"VZQ","Puale Bay, AK: Puale Bay Airport","Puale Bay, AK","Alaska",
"UQE","Queen, AK: Queen Airport","Queen, AK","Alaska",
"RMP","Rampart, AK: Rampart Airport","Rampart, AK","Alaska",
"RDV","Red Devil, AK: Red Devil Airport","Red Devil, AK","Alaska",
"RDB","Red Dog, AK: Red Dog Mine","Red Dog, AK","Alaska",
"WQV","Round Island, AK: Round Island Airport","Round Island, AK","Alaska",
"RBY","Ruby, AK: Ruby Airport","Ruby, AK","Alaska",
